time,FHR1,FHR2,UC
57.5,137,146,0.089
58.0,148,137,0.045
58.5,144,134,0.045
59.0,144,140,0.07
59.5,140,139,0.095
60.0,125,132,0.068
60.5,135,136,0.072
61.0,155,135,0.088
61.5,141,134,0.074
62.0,124,136,0.076
62.5,126,138,0.054
63.0,136,137,0.041
63.5,135,137,0.072
64.0,141,143,0.107
64.5,141,140,0.085
65.0,139,142,0.06
65.5,144,128,0.084
66.0,141,153,0.109
66.5,143,139,0.133
67.0,149,138,0.158
67.5,143,130,0.182
68.0,148,141,0.207
68.5,139,139,0.231
69.0,136,145,0.256
69.5,141,141,0.28
70.0,146,138,0.28
70.5,155,145,0.256
71.0,151,139,0.231
71.5,149,146,0.207
72.0,151,142,0.182
72.5,146,140,0.158
73.0,138,139,0.133
73.5,143,132,0.109
74.0,149,138,0.084
74.5,141,131,0.06
75.0,148,138,0.067
75.5,152,138,0.055
76.0,148,139,0.053
76.5,145,147,0.109
77.0,149,138,0.083
77.5,155,149,0.062
78.0,139,140,0.031
78.5,143,138,0.057
79.0,151,140,0.088
79.5,143,143,0.05
80.0,142,138,0.054
80.5,150,144,0.076
81.0,139,142,0.057
81.5,143,136,0.126
82.0,148,133,0.06
82.5,148,142,0.065
83.0,147,152,0.032
83.5,153,141,0.078
84.0,149,125,0.074
84.5,153,135,0.091
85.0,151,135,0.103
85.5,149,141,0.078
86.0,152,141,0.081
86.5,148,146,0.071
87.0,139,132,0.087
87.5,152,147,0.071
88.0,146,138,0.088
88.5,144,146,0.053
89.0,142,142,0.096
89.5,148,142,0.066
90.0,151,139,0.094
90.5,144,138,0.104
91.0,147,139,0.053
91.5,142,145,0.083
92.0,148,145,0.101
92.5,138,149,0.077
93.0,144,135,0.069
93.5,142,133,0.086
94.0,139,146,0.097
94.5,145,140,0.052
95.0,144,134,0.065
95.5,140,143,0.061
96.0,150,148,0.096
96.5,147,154,0.051
97.0,147,134,0.071
97.5,151,141,0.068
98.0,147,140,0.086
98.5,138,136,0.068
99.0,144,143,0.053
99.5,140,143,0.089
100.0,148,148,0.087
100.5,149,147,0.077
101.0,142,142,0.062
101.5,141,133,0.08
102.0,140,146,0.075
102.5,132,139,0.051
103.0,148,136,0.078
103.5,150,145,0.061
104.0,144,138,0.078
104.5,149,145,0.093
105.0,147,146,0.075
105.5,142,129,0.061
106.0,144,135,0.078
106.5,142,136,0.048
107.0,148,136,0.091
107.5,140,149,0.085
108.0,149,134,0.051
108.5,138,141,0.067
109.0,152,132,0.096
109.5,141,137,0.07
110.0,145,143,0.037
110.5,145,143,0.066
111.0,148,144,0.055
111.5,144,144,0.062
112.0,137,139,0.072
112.5,139,139,0.037
113.0,143,133,0.063
113.5,150,145,0.063
114.0,141,138,0.078
114.5,150,148,0.045
115.0,146,143,0.082
115.5,145,133,0.089
116.0,148,134,0.048
116.5,142,136,0.055
117.0,146,144,0.054
117.5,139,145,0.087
118.0,139,136,0.045
118.5,143,137,0.077
119.0,139,142,0.071
119.5,144,144,0.066
120.0,149,135,0.072
120.5,148,140,0.097
121.0,152,141,0.101
121.5,139,142,0.076
122.0,147,139,0.069
122.5,140,135,0.042
123.0,146,139,0.053
123.5,135,129,0.072
124.0,140,140,0.081
124.5,141,149,0.075
125.0,145,139,0.085
125.5,141,140,0.099
126.0,148,133,0.049
126.5,145,138,0.031
127.0,138,139,0.037
127.5,142,139,0.105
128.0,143,132,0.09
128.5,149,136,0.071
129.0,139,142,0.036
129.5,155,136,0.043
130.0,149,141,0.07
130.5,152,141,0.075
131.0,148,142,0.086
131.5,142,144,0.044
132.0,141,149,0.074
132.5,145,143,0.066
133.0,140,133,0.036
133.5,153,140,0.055
134.0,149,137,0.075
134.5,137,135,0.058
135.0,151,144,0.075
135.5,150,144,0.093
136.0,143,143,0.04
136.5,145,144,0.054
137.0,146,149,0.057
137.5,144,141,0.061
138.0,144,139,0.075
138.5,148,135,0.067
139.0,146,147,0.075
139.5,137,140,0.081
140.0,148,142,0.099
140.5,149,142,0.07
141.0,141,152,0.083
141.5,137,144,0.112
142.0,142,135,0.07
142.5,146,146,0.055
143.0,146,147,0.06
143.5,148,136,0.079
144.0,146,140,0.07
144.5,153,140,0.088
145.0,141,136,0.073
145.5,142,137,0.08
146.0,145,137,0.076
146.5,149,134,0.072
147.0,148,136,0.068
147.5,152,138,0.078
148.0,137,136,0.035
148.5,140,142,0.078
149.0,139,148,0.075
149.5,137,141,0.048
150.0,138,143,0.064
150.5,137,134,0.047
151.0,142,132,0.043
151.5,142,137,0.079
152.0,144,134,0.044
152.5,145,132,0.016
153.0,136,128,0.052
153.5,133,123,0.047
154.0,139,140,0.098
154.5,144,146,0.062
155.0,145,144,0.072
155.5,139,143,0.074
156.0,140,133,0.065
156.5,154,141,0.068
157.0,143,140,0.087
157.5,153,139,0.03
158.0,147,137,0.051
158.5,149,136,0.093
159.0,149,147,0.073
159.5,139,141,0.066
160.0,150,137,0.075
160.5,143,142,0.047
161.0,143,138,0.069
161.5,137,131,0.066
162.0,143,140,0.052
162.5,147,137,0.083
163.0,148,135,0.089
163.5,137,134,0.099
164.0,149,131,0.035
164.5,142,137,0.072
165.0,140,136,0.087
165.5,139,143,0.074
166.0,147,142,0.058
166.5,144,143,0.021
167.0,151,141,0.077
167.5,148,142,0.077
168.0,145,132,0.03
168.5,154,132,0.055
169.0,143,142,0.066
169.5,152,137,0.068
170.0,145,143,0.06
170.5,140,148,0.084
171.0,149,142,0.109
171.5,145,136,0.133
172.0,144,144,0.158
172.5,151,133,0.182
173.0,154,140,0.207
173.5,137,135,0.231
174.0,143,140,0.256
174.5,157,129,0.28
175.0,140,136,0.28
175.5,146,143,0.256
176.0,141,138,0.231
176.5,146,138,0.207
177.0,146,142,0.182
177.5,146,138,0.158
178.0,146,146,0.133
178.5,148,123,0.109
179.0,153,137,0.084
179.5,143,136,0.06
180.0,149,137,0.065
180.5,149,137,0.069
181.0,141,144,0.081
181.5,155,141,0.064
182.0,147,136,0.057
182.5,149,143,0.078
183.0,139,149,0.047
183.5,145,134,0.066
184.0,145,134,0.054
184.5,148,141,0.087
185.0,149,145,0.077
185.5,151,133,0.065
186.0,148,138,0.063
186.5,144,149,0.066
187.0,148,138,0.072
187.5,141,135,0.048
188.0,145,146,0.081
188.5,145,142,0.047
189.0,142,136,0.066
189.5,143,138,0.058
190.0,155,139,0.07
190.5,143,143,0.096
191.0,148,137,0.073
191.5,138,138,0.051
192.0,143,145,0.089
192.5,152,141,0.111
193.0,145,139,0.071
193.5,145,132,0.095
194.0,146,131,0.066
194.5,152,139,0.074
195.0,148,141,0.101
195.5,146,138,0.053
196.0,150,151,0.07
196.5,141,135,0.073
197.0,145,137,0.093
197.5,150,139,0.043
198.0,149,144,0.087
198.5,135,141,0.058
199.0,142,141,0.09
199.5,143,131,0.108
200.0,142,142,0.072
200.5,140,139,0.068
201.0,149,142,0.065
201.5,146,137,0.089
202.0,146,146,0.089
202.5,148,139,0.04
203.0,151,138,0.1
203.5,143,151,0.082
204.0,140,144,0.105
204.5,146,148,0.036
205.0,143,139,0.064
205.5,155,138,0.057
206.0,140,138,0.06
206.5,143,127,0.058
207.0,151,135,0.075
207.5,143,148,0.088
208.0,137,145,0.062
208.5,146,146,0.081
209.0,152,140,0.062
209.5,147,128,0.064
210.0,143,140,0.11
210.5,138,132,0.092
211.0,150,132,0.084
211.5,150,137,0.058
212.0,141,138,0.094
212.5,145,146,0.077
213.0,147,136,0.063
213.5,134,140,0.068
214.0,146,138,0.056
214.5,144,138,0.076
215.0,154,139,0.059
215.5,150,145,0.048
216.0,150,143,0.063
216.5,151,139,0.078
217.0,144,138,0.034
217.5,146,142,0.058
218.0,139,142,0.086
218.5,152,135,0.071
219.0,146,143,0.078
219.5,149,145,0.066
220.0,141,137,0.055
220.5,144,135,0.063
221.0,152,132,0.111
221.5,143,141,0.046
222.0,140,141,0.099
222.5,144,143,0.104
223.0,138,144,0.079
223.5,145,134,0.097
224.0,140,130,0.082
224.5,145,135,0.072
225.0,150,133,0.071
225.5,148,137,0.094
226.0,146,136,0.076
226.5,148,144,0.101
227.0,150,142,0.063
227.5,141,140,0.079
228.0,145,131,0.081
228.5,143,152,0.078
229.0,146,143,0.086
229.5,135,146,0.08
230.0,144,140,0.051
230.5,149,134,0.04
231.0,151,141,0.067
231.5,150,139,0.068
232.0,152,142,0.072
232.5,140,140,0.052
233.0,141,148,0.065
233.5,147,138,0.057
234.0,140,139,0.071
234.5,146,143,0.054
235.0,142,149,0.037
235.5,148,144,0.052
236.0,147,147,0.089
236.5,142,136,0.082
237.0,138,148,0.031
237.5,152,141,0.078
238.0,152,151,0.065
238.5,139,139,0.051
239.0,152,144,0.083
239.5,147,147,0.063
240.0,135,142,0.086
240.5,136,135,0.06
241.0,135,132,0.063
241.5,138,137,0.06
242.0,131,134,0.09
242.5,139,128,0.075
243.0,140,136,0.026
243.5,133,134,0.081
244.0,151,146,0.065
244.5,138,133,0.093
245.0,154,148,0.068
245.5,144,137,0.049
246.0,145,137,0.068
246.5,151,134,0.054
247.0,150,138,0.014
247.5,143,146,0.071
248.0,153,144,0.058
248.5,129,143,0.059
249.0,145,137,0.063
249.5,145,140,0.078
250.0,148,143,0.094
250.5,147,138,0.068
251.0,141,143,0.065
251.5,145,139,0.058
252.0,142,146,0.072
252.5,146,134,0.069
253.0,146,127,0.039
253.5,146,140,0.084
254.0,145,139,0.071
254.5,155,140,0.066
255.0,151,150,0.081
255.5,144,146,0.058
256.0,146,142,0.063
256.5,150,136,0.061
257.0,145,138,0.07
257.5,144,142,0.057
258.0,149,138,0.061
258.5,149,142,0.061
259.0,147,140,0.09
259.5,150,138,0.047
260.0,156,147,0.054
260.5,155,153,0.045
261.0,149,145,0.082
261.5,154,149,0.101
262.0,154,141,0.06
262.5,147,134,0.078
263.0,149,147,0.058
263.5,146,134,0.05
264.0,145,143,0.052
264.5,149,133,0.048
265.0,152,140,0.071
265.5,146,137,0.09
266.0,145,146,0.062
266.5,141,138,0.082
267.0,152,140,0.059
267.5,147,136,0.062
268.0,140,142,0.07
268.5,144,142,0.093
269.0,148,145,0.065
269.5,154,134,0.098
270.0,133,140,0.045
270.5,147,139,0.079
271.0,145,144,0.101
271.5,150,145,0.067
272.0,142,143,0.072
272.5,142,144,0.05
273.0,145,141,0.048
273.5,140,141,0.065
274.0,143,143,0.085
274.5,145,141,0.055
275.0,144,139,0.06
275.5,152,136,0.084
276.0,139,134,0.109
276.5,146,140,0.133
277.0,154,139,0.158
277.5,152,145,0.182
278.0,145,142,0.207
278.5,145,127,0.231
279.0,151,138,0.256
279.5,144,140,0.28
280.0,138,144,0.28
280.5,147,134,0.256
281.0,144,135,0.231
281.5,143,143,0.207
282.0,149,145,0.182
282.5,140,140,0.158
283.0,148,138,0.133
283.5,143,138,0.109
284.0,152,135,0.084
284.5,142,138,0.06
285.0,148,141,0.067
285.5,145,139,0.112
286.0,137,145,0.056
286.5,138,134,0.064
287.0,146,143,0.072
287.5,149,139,0.064
288.0,142,150,0.075
288.5,146,141,0.072
289.0,142,135,0.072
289.5,143,142,0.066
290.0,144,134,0.077
290.5,156,134,0.071
291.0,144,143,0.06
291.5,147,137,0.077
292.0,143,133,0.052
292.5,140,142,0.051
293.0,147,144,0.096
293.5,141,138,0.05
294.0,141,145,0.049
294.5,154,147,0.092
295.0,141,142,0.063
295.5,150,140,0.065
296.0,152,136,0.056
296.5,140,142,0.063
297.0,139,145,0.068
297.5,145,135,0.064
298.0,147,140,0.071
298.5,145,141,0.073
299.0,152,131,0.068
299.5,148,144,0.055
300.0,143,139,0.07
300.5,145,137,0.094
301.0,146,137,0.09
301.5,136,139,0.082
302.0,150,137,0.088
302.5,148,141,0.063
303.0,146,137,0.082
303.5,147,141,0.073
304.0,140,144,0.033
304.5,142,140,0.056
305.0,142,137,0.093
305.5,147,140,0.066
306.0,143,140,0.01
306.5,138,128,0.1
307.0,147,139,0.061
307.5,143,144,0.086
308.0,153,141,0.086
308.5,146,144,0.094
309.0,143,135,0.087
309.5,144,140,0.085
310.0,144,132,0.097
310.5,143,135,0.076
311.0,140,139,0.069
311.5,141,140,0.048
312.0,135,136,0.075
312.5,145,141,0.08
313.0,150,136,0.103
313.5,149,144,0.107
314.0,135,139,0.085
314.5,143,136,0.079
315.0,151,132,0.095
315.5,146,144,0.056
316.0,144,140,0.067
316.5,142,144,0.052
317.0,141,137,0.05
317.5,146,136,0.081
318.0,143,139,0.058
318.5,150,132,0.091
319.0,141,144,0.094
319.5,140,136,0.106
320.0,142,143,0.08
320.5,144,137,0.08
321.0,144,141,0.086
321.5,133,155,0.054
322.0,147,145,0.066
322.5,141,145,0.03
323.0,143,140,0.081
323.5,150,138,0.078
324.0,153,129,0.057
324.5,151,134,0.065
325.0,142,141,0.038
325.5,139,145,0.062
326.0,152,136,0.061
326.5,143,135,0.096
327.0,138,145,0.063
327.5,147,134,0.089
328.0,150,136,0.104
328.5,143,139,0.049
329.0,136,139,0.073
329.5,141,142,0.086
330.0,134,141,0.051
330.5,134,134,0.081
331.0,135,130,0.075
331.5,144,136,0.085
332.0,127,130,0.081
332.5,137,131,0.072
333.0,140,140,0.094
333.5,132,137,0.066
334.0,151,147,0.06
334.5,143,143,0.092
335.0,140,148,0.048
335.5,147,143,0.011
336.0,144,137,0.082
336.5,150,139,0.095
337.0,143,145,0.036
337.5,139,147,0.081
338.0,151,144,0.06
338.5,148,139,0.072
339.0,149,136,0.032
339.5,141,134,0.074
340.0,148,132,0.111
340.5,149,139,0.062
341.0,149,143,0.042
341.5,149,140,0.087
342.0,143,135,0.029
342.5,139,140,0.077
343.0,147,140,0.075
343.5,139,142,0.035
344.0,142,142,0.074
344.5,148,153,0.064
345.0,145,140,0.062
345.5,150,137,0.094
346.0,149,145,0.057
346.5,151,147,0.061
347.0,148,133,0.044
347.5,144,150,0.085
348.0,142,142,0.038
348.5,152,143,0.053
349.0,147,142,0.053
349.5,148,149,0.057
350.0,150,133,0.064
350.5,147,138,0.078
351.0,149,144,0.073
351.5,141,143,0.078
352.0,147,140,0.042
352.5,145,145,0.078
353.0,146,141,0.053
353.5,149,149,0.086
354.0,146,143,0.083
354.5,134,142,0.065
355.0,151,141,0.103
355.5,147,141,0.088
356.0,144,141,0.058
356.5,151,140,0.074
357.0,152,141,0.048
357.5,146,142,0.051
358.0,141,142,0.07
358.5,145,141,0.081
359.0,141,141,0.093
359.5,144,139,0.101
360.0,145,140,0.103
360.5,141,132,0.058
361.0,137,129,0.06
361.5,156,131,0.078
362.0,148,137,0.073
362.5,146,146,0.077
363.0,150,150,0.042
363.5,140,140,0.085
364.0,145,143,0.054
364.5,146,148,0.101
365.0,139,140,0.06
365.5,135,142,0.057
366.0,147,137,0.094
366.5,143,141,0.087
367.0,146,140,0.08
367.5,147,138,0.088
368.0,140,131,0.08
368.5,147,143,0.04
369.0,146,149,0.046
369.5,147,135,0.054
370.0,151,151,0.07
370.5,149,150,0.045
371.0,156,138,0.056
371.5,158,134,0.061
372.0,151,160,0.092
372.5,150,139,0.056
373.0,144,146,0.088
373.5,141,149,0.048
374.0,146,139,0.044
374.5,151,149,0.067
375.0,155,149,0.054
375.5,129,138,0.077
376.0,148,134,0.104
376.5,145,138,0.056
377.0,142,141,0.072
377.5,151,140,0.073
378.0,149,144,0.057
378.5,154,142,0.053
379.0,143,148,0.061
379.5,141,137,0.082
380.0,153,142,0.06
380.5,149,138,0.084
381.0,142,133,0.109
381.5,149,135,0.133
382.0,145,139,0.158
382.5,145,142,0.182
383.0,142,143,0.207
383.5,141,130,0.231
384.0,145,146,0.256
384.5,142,146,0.28
385.0,142,144,0.28
385.5,138,140,0.256
386.0,146,145,0.231
386.5,143,148,0.207
387.0,149,139,0.182
387.5,153,142,0.158
388.0,134,138,0.133
388.5,144,148,0.109
389.0,150,129,0.084
389.5,146,132,0.06
390.0,151,144,0.048
390.5,144,136,0.071
391.0,149,137,0.099
391.5,139,138,0.06
392.0,150,145,0.035
392.5,146,140,0.071
393.0,146,139,0.082
393.5,146,145,0.062
394.0,139,134,0.081
394.5,149,144,0.074
395.0,142,138,0.081
395.5,145,143,0.028
396.0,135,142,0.062
396.5,141,150,0.069
397.0,141,144,0.085
397.5,155,147,0.086
398.0,152,148,0.068
398.5,147,134,0.059
399.0,151,133,0.039
399.5,138,151,0.035
400.0,144,135,0.087
400.5,146,139,0.04
401.0,143,145,0.035
401.5,140,133,0.063
402.0,158,142,0.063
402.5,149,139,0.109
403.0,137,140,0.095
403.5,149,136,0.056
404.0,145,140,0.039
404.5,141,135,0.086
405.0,140,138,0.042
405.5,144,133,0.093
406.0,150,130,0.071
406.5,140,139,0.084
407.0,137,143,0.085
407.5,147,139,0.073
408.0,139,139,0.067
408.5,141,133,0.064
409.0,141,141,0.101
409.5,137,141,0.072
410.0,144,136,0.051
410.5,149,143,0.065
411.0,145,139,0.036
411.5,143,139,0.083
412.0,145,145,0.086
412.5,142,132,0.084
413.0,143,143,0.081
413.5,141,148,0.098
414.0,151,127,0.043
414.5,150,140,0.09
415.0,141,140,0.073
415.5,146,142,0.084
416.0,142,136,0.048
416.5,142,149,0.077
417.0,153,139,0.085
417.5,136,138,0.064
418.0,150,141,0.075
418.5,143,132,0.071
419.0,147,138,0.069
419.5,151,138,0.06
420.0,125,130,0.062
420.5,134,134,0.095
421.0,133,133,0.081
421.5,137,132,0.087
422.0,125,135,0.069
422.5,135,137,0.076
423.0,135,140,0.082
423.5,135,132,0.055
424.0,140,140,0.08
424.5,149,141,0.072
425.0,141,146,0.051
425.5,147,147,0.057
426.0,148,135,0.056
426.5,139,146,0.053
427.0,148,146,0.077
427.5,149,145,0.034
428.0,142,145,0.069
428.5,143,143,0.104
429.0,151,131,0.063
429.5,158,134,0.049
430.0,143,143,0.06
430.5,148,135,0.071
431.0,145,144,0.087
431.5,148,143,0.074
432.0,145,136,0.059
432.5,144,141,0.027
433.0,136,145,0.085
433.5,147,143,0.072
434.0,146,140,0.056
434.5,146,141,0.07
435.0,140,145,0.044
435.5,139,149,0.108
436.0,138,146,0.052
436.5,147,150,0.058
437.0,139,132,0.096
437.5,151,140,0.065
438.0,148,137,0.063
438.5,150,152,0.072
439.0,139,138,0.055
439.5,142,141,0.08
440.0,143,134,0.068
440.5,142,138,0.071
441.0,142,144,0.075
441.5,143,140,0.083
442.0,150,142,0.068
442.5,152,133,0.046
443.0,149,129,0.089
443.5,144,143,0.062
444.0,145,132,0.038
444.5,145,139,0.061
445.0,142,142,0.048
445.5,150,131,0.062
446.0,145,142,0.077
446.5,143,140,0.084
447.0,146,150,0.09
447.5,149,141,0.054
448.0,145,138,0.048
448.5,140,140,0.085
449.0,143,144,0.079
449.5,140,141,0.053
450.0,143,136,0.069
450.5,146,149,0.095
451.0,146,130,0.074
451.5,141,137,0.114
452.0,140,148,0.064
452.5,139,139,0.088
453.0,151,142,0.066
453.5,136,145,0.082
454.0,135,141,0.055
454.5,141,152,0.08
455.0,148,138,0.094
455.5,137,142,0.096
456.0,153,131,0.098
456.5,148,139,0.057
457.0,144,135,0.054
457.5,141,139,0.077
458.0,146,138,0.048
458.5,145,136,0.079
459.0,147,139,0.059
459.5,141,146,0.084
460.0,146,134,0.078
460.5,147,147,0.09
461.0,146,135,0.056
461.5,142,138,0.061
462.0,149,146,0.077
462.5,143,134,0.066
463.0,138,142,0.09
463.5,153,136,0.027
464.0,155,130,0.103
464.5,140,144,0.092
465.0,148,140,0.09
465.5,151,138,0.042
466.0,143,140,0.048
466.5,143,143,0.057
467.0,149,140,0.051
467.5,141,156,0.071
468.0,138,143,0.12
468.5,148,138,0.034
469.0,143,133,0.071
469.5,144,146,0.068
470.0,148,149,0.058
470.5,144,138,0.078
471.0,145,141,0.052
471.5,143,136,0.1
472.0,146,140,0.055
472.5,141,144,0.095
473.0,145,136,0.08
473.5,143,138,0.07
474.0,145,136,0.061
474.5,149,142,0.04
475.0,148,144,0.037
475.5,139,147,0.055
476.0,152,144,0.076
476.5,144,143,0.082
477.0,135,138,0.043
477.5,141,138,0.084
478.0,151,140,0.06
478.5,151,140,0.042
479.0,139,139,0.055
479.5,147,141,0.081
480.0,154,139,0.101
480.5,156,147,0.063
481.0,141,142,0.076
481.5,159,150,0.056
482.0,146,146,0.082
482.5,143,146,0.093
483.0,147,145,0.064
483.5,154,146,0.051
484.0,154,141,0.049
484.5,147,138,0.022
485.0,145,133,0.06
485.5,140,140,0.084
486.0,145,130,0.109
486.5,147,140,0.133
487.0,140,143,0.158
487.5,143,136,0.182
488.0,144,137,0.207
488.5,144,144,0.231
489.0,147,140,0.256
489.5,137,145,0.28
490.0,152,140,0.28
490.5,147,144,0.256
491.0,145,131,0.231
491.5,148,136,0.207
492.0,150,135,0.182
492.5,141,143,0.158
493.0,144,150,0.133
493.5,146,138,0.109
494.0,148,137,0.084
494.5,150,135,0.06
495.0,148,143,0.064
495.5,146,141,0.059
496.0,143,135,0.067
496.5,145,142,0.084
497.0,142,134,0.036
497.5,149,138,0.044
498.0,137,143,0.048
498.5,144,136,0.062
499.0,142,139,0.057
499.5,149,136,0.077
500.0,140,139,0.1
500.5,141,138,0.066
501.0,141,148,0.078
501.5,139,136,0.052
502.0,148,137,0.082
502.5,146,136,0.089
503.0,144,141,0.069
503.5,141,131,0.068
504.0,141,140,0.093
504.5,142,134,0.114
505.0,143,147,0.101
505.5,144,133,0.081
506.0,144,152,0.059
506.5,143,144,0.08
507.0,139,143,0.099
507.5,146,132,0.042
508.0,145,138,0.081
508.5,156,135,0.093
509.0,144,136,0.037
509.5,152,134,0.057
510.0,137,119,0.056
510.5,127,137,0.076
511.0,134,146,0.05
511.5,129,127,0.046
512.0,136,140,0.066
512.5,133,135,0.086
513.0,137,136,0.077
513.5,129,139,0.035
514.0,141,146,0.069
514.5,145,146,0.067
515.0,138,141,0.082
515.5,149,145,0.067
516.0,141,139,0.029
516.5,146,134,0.063
517.0,149,144,0.057
517.5,142,140,0.086
518.0,151,144,0.072
518.5,149,138,0.065
519.0,143,139,0.051
519.5,140,129,0.099
520.0,145,141,0.078
520.5,138,138,0.054
521.0,146,138,0.027
521.5,140,142,0.061
522.0,142,142,0.07
522.5,151,150,0.065
523.0,148,130,0.047
523.5,139,134,0.054
524.0,146,136,0.091
524.5,141,148,0.077
525.0,146,138,0.097
525.5,150,126,0.07
526.0,140,139,0.112
526.5,149,143,0.09
527.0,142,145,0.054
527.5,145,139,0.063
528.0,146,134,0.076
528.5,137,141,0.028
529.0,148,136,0.079
529.5,146,144,0.073
530.0,144,139,0.092
530.5,153,143,0.082
531.0,145,146,0.097
531.5,148,141,0.085
532.0,141,138,0.06
532.5,140,148,0.09
533.0,150,138,0.088
533.5,144,143,0.039
534.0,143,144,0.088
534.5,140,137,0.051
535.0,136,131,0.058
535.5,145,138,0.05
536.0,144,133,0.082
536.5,150,135,0.068
537.0,150,144,0.098
537.5,145,138,0.078
538.0,143,133,0.062
538.5,144,135,0.094
539.0,147,135,0.108
539.5,146,139,0.103
540.0,144,131,0.09
540.5,141,149,0.084
541.0,142,143,0.086
541.5,141,136,0.059
542.0,146,143,0.108
542.5,143,142,0.091
543.0,150,135,0.103
543.5,142,138,0.095
544.0,147,144,0.081
544.5,141,140,0.096
545.0,151,138,0.013
545.5,143,149,0.071
546.0,135,152,0.112
546.5,143,140,0.05
547.0,148,129,0.058
547.5,143,139,0.039
548.0,143,140,0.048
548.5,140,143,0.086
549.0,141,140,0.08
549.5,149,131,0.078
550.0,153,132,0.077
550.5,145,152,0.052
551.0,146,146,0.079
551.5,141,144,0.049
552.0,144,137,0.073
552.5,145,141,0.036
553.0,142,136,0.06
553.5,141,140,0.064
554.0,146,138,0.103
554.5,142,137,0.058
555.0,147,146,0.089
555.5,146,132,0.063
556.0,146,143,0.07
556.5,142,138,0.08
557.0,142,139,0.087
557.5,147,139,0.049
558.0,150,142,0.04
558.5,139,138,0.051
559.0,147,137,0.074
559.5,142,140,0.064
560.0,144,139,0.084
560.5,143,138,0.067
561.0,141,139,0.057
561.5,150,139,0.064
562.0,137,138,0.068
562.5,147,146,0.06
563.0,151,137,0.051
563.5,142,134,0.071
564.0,151,141,0.094
564.5,148,143,0.043
565.0,144,136,0.059
565.5,145,136,0.077
566.0,142,143,0.052
566.5,146,142,0.072
567.0,144,139,0.103
567.5,142,142,0.081
568.0,144,139,0.12
568.5,144,142,0.049
569.0,149,144,0.095
569.5,151,142,0.065
570.0,145,138,0.091
570.5,141,145,0.093
571.0,146,129,0.088
571.5,147,141,0.087
572.0,151,142,0.063
572.5,145,138,0.076
573.0,140,151,0.045
573.5,148,135,0.066
574.0,150,136,0.069
574.5,147,135,0.108
575.0,141,136,0.093
575.5,145,143,0.087
576.0,150,137,0.044
576.5,146,143,0.066
577.0,145,132,0.078
577.5,146,143,0.063
578.0,150,132,0.041
578.5,134,136,0.053
579.0,139,136,0.079
579.5,142,144,0.071
580.0,151,150,0.082
580.5,141,145,0.077
581.0,145,140,0.066
581.5,144,147,0.077
