LB,UC,time
123,0.0,122.0
128,0.004,122.5
128,0.008,123.0
151,0.002,123.5
151,0.003,124.0
151,0.0,124.5
148,0.003,125.0
130,0.006,125.5
130,0.003,126.0
130,0.0,126.5
130,0.002,127.0
127,0.007,127.5
127,0.008,128.0
127,0.005,128.5
127,0.008,129.0
127,0.013,129.5
127,0.005,130.0
127,0.006,130.5
127,0.006,131.0
127,0.006,131.5
127,0.005,132.0
128,0.006,132.5
124,0.004,133.0
124,0.006,133.5
126,0.003,134.0
126,0.003,134.5
124,0.007,135.0
124,0.006,135.5
123,0.001,136.0
123,0.0,136.5
123,0.0,137.0
123,0.002,137.5
123,0.0,138.0
123,0.004,138.5
123,0.003,139.0
120,0.009,139.5
120,0.01,140.0
118,0.01,140.5
133,0.003,141.0
133,0.0,141.5
128,0.003,142.0
143,0.0,142.5
143,0.0,143.0
144,0.0,143.5
144,0.0,144.0
144,0.0,144.5
144,0.0,145.0
142,0.0,145.5
142,0.0,146.0
142,0.0,146.5
146,0.0,147.0
146,0.0,147.5
148,0.0,148.0
148,0.0,148.5
148,0.0,149.0
148,0.0,149.5
144,0.0,150.0
144,0.0,150.5
144,0.0,151.0
145,0.0,151.5
145,0.0,152.0
145,0.0,152.5
145,0.0,153.0
132,0.0,153.5
141,0.0,154.0
141,0.0,154.5
146,0.0,155.0
146,0.0,155.5
146,0.0,156.0
146,0.0,156.5
146,0.0,157.0
146,0.0,157.5
150,0.0,158.0
150,0.0,158.5
144,0.0,159.0
150,0.0,159.5
150,0.0,160.0
150,0.0,160.5
135,0.0,161.0
135,0.0,161.5
135,0.0,162.0
135,0.0,162.5
144,0.0,163.0
144,0.0,163.5
146,0.0,164.0
146,0.0,164.5
146,0.0,165.0
146,0.0,165.5
146,0.0,166.0
144,0.0,166.5
144,0.0,167.0
146,0.0,167.5
137,0.0,168.0
137,0.0,168.5
137,0.0,169.0
133,0.0,169.5
133,0.0,170.0
133,0.0,170.5
133,0.0,171.0
139,0.0,171.5
139,0.0,172.0
139,0.0,172.5
139,0.0,173.0
139,0.0,173.5
141,0.001,174.0
141,0.002,174.5
141,0.0,175.0
140,0.0,175.5
140,0.0,176.0
140,0.0,176.5
140,0.0,177.0
140,0.0,177.5
130,0.0,178.0
130,0.0,178.5
133,0.003,179.0
133,0.002,179.5
133,0.003,180.0
133,0.004,180.5
135,0.002,181.0
135,0.001,181.5
135,0.002,182.0
135,0.003,182.5
135,0.002,183.0
135,0.002,183.5
133,0.003,184.0
138,0.001,184.5
138,0.0,185.0
138,0.002,185.5
138,0.002,186.0
138,0.0,186.5
138,0.002,187.0
141,0.002,187.5
141,0.002,188.0
141,0.0,188.5
141,0.001,189.0
141,0.001,189.5
141,0.002,190.0
129,0.003,190.5
131,0.003,191.0
131,0.0,191.5
133,0.0,192.0
129,0.003,192.5
129,0.005,193.0
129,0.003,193.5
129,0.0,194.0
129,0.002,194.5
129,0.003,195.0
143,0.001,195.5
143,0.0,196.0
143,0.002,196.5
143,0.001,197.0
143,0.001,197.5
143,0.002,198.0
148,0.0,198.5
148,0.0,199.0
150,0.0,199.5
150,0.0,200.0
150,0.0,200.5
151,0.0,201.0
151,0.0,201.5
150,0.0,202.0
150,0.0,202.5
150,0.0,203.0
150,0.0,203.5
150,0.0,204.0
150,0.0,204.5
147,0.001,205.0
147,0.002,205.5
147,0.0,206.0
147,0.0,206.5
135,0.001,207.0
135,0.0,207.5
135,0.0,208.0
137,0.001,208.5
137,0.0,209.0
137,0.002,209.5
137,0.0,210.0
143,0.003,210.5
143,0.003,211.0
143,0.002,211.5
143,0.002,212.0
156,0.005,212.5
156,0.005,213.0
120,0.003,213.5
121,0.001,214.0
121,0.001,214.5
121,0.002,215.0
125,0.0,215.5
125,0.0,216.0
125,0.0,216.5
151,0.006,217.0
151,0.008,217.5
151,0.006,218.0
151,0.008,218.5
151,0.006,219.0
151,0.006,219.5
142,0.001,220.0
142,0.001,220.5
144,0.0,221.0
144,0.0,221.5
144,0.0,222.0
142,0.0,222.5
142,0.0,223.0
142,0.0,223.5
135,0.0,224.0
135,0.0,224.5
135,0.0,225.0
135,0.0,225.5
127,0.004,226.0
133,0.002,226.5
133,0.003,227.0
133,0.001,227.5
131,0.005,228.0
141,0.001,228.5
141,0.0,229.0
141,0.002,229.5
120,0.002,230.0
120,0.0,230.5
120,0.003,231.0
120,0.001,231.5
120,0.002,232.0
144,0.001,232.5
144,0.001,233.0
144,0.002,233.5
144,0.002,234.0
151,0.0,234.5
151,0.0,235.0
150,0.0,235.5
150,0.001,236.0
150,0.0,236.5
150,0.0,237.0
150,0.0,237.5
145,0.001,238.0
145,0.0,238.5
145,0.001,239.0
145,0.0,239.5
140,0.001,240.0
140,0.0,240.5
139,0.0,241.0
139,0.0,241.5
143,0.001,242.0
143,0.0,242.5
127,0.0,243.0
127,0.0,243.5
127,0.0,244.0
127,0.0,244.5
120,0.001,245.0
120,0.0,245.5
120,0.001,246.0
120,0.002,246.5
127,0.002,247.0
127,0.002,247.5
130,0.001,248.0
130,0.002,248.5
130,0.0,249.0
130,0.001,249.5
131,0.001,250.0
131,0.001,250.5
130,0.004,251.0
130,0.006,251.5
128,0.004,252.0
128,0.004,252.5
157,0.002,253.0
157,0.002,253.5
157,0.001,254.0
157,0.003,254.5
154,0.003,255.0
154,0.002,255.5
154,0.003,256.0
154,0.0,256.5
130,0.005,257.0
130,0.004,257.5
130,0.005,258.0
130,0.004,258.5
126,0.004,259.0
126,0.005,259.5
126,0.003,260.0
126,0.0,260.5
158,0.002,261.0
158,0.003,261.5
158,0.003,262.0
158,0.0,262.5
142,0.002,263.0
142,0.003,263.5
142,0.002,264.0
142,0.0,264.5
142,0.0,265.0
142,0.004,265.5
137,0.0,266.0
137,0.0,266.5
137,0.0,267.0
138,0.0,267.5
138,0.0,268.0
143,0.0,268.5
143,0.0,269.0
143,0.0,269.5
145,0.001,270.0
145,0.0,270.5
140,0.001,271.0
140,0.002,271.5
145,0.0,272.0
145,0.002,272.5
145,0.0,273.0
138,0.005,273.5
141,0.003,274.0
141,0.003,274.5
141,0.004,275.0
136,0.006,275.5
136,0.004,276.0
140,0.008,276.5
140,0.008,277.0
140,0.008,277.5
140,0.008,278.0
130,0.003,278.5
130,0.005,279.0
130,0.004,279.5
130,0.0,280.0
128,0.01,280.5
128,0.01,281.0
128,0.012,281.5
128,0.011,282.0
128,0.005,282.5
128,0.004,283.0
128,0.007,283.5
128,0.008,284.0
128,0.008,284.5
128,0.007,285.0
128,0.006,285.5
128,0.007,286.0
128,0.007,286.5
128,0.003,287.0
128,0.008,287.5
128,0.007,288.0
136,0.0,288.5
120,0.004,289.0
120,0.003,289.5
120,0.003,290.0
120,0.004,290.5
120,0.003,291.0
120,0.004,291.5
120,0.003,292.0
120,0.003,292.5
120,0.006,293.0
120,0.004,293.5
120,0.004,294.0
120,0.003,294.5
120,0.006,295.0
120,0.009,295.5
120,0.008,296.0
120,0.004,296.5
148,0.003,297.0
148,0.004,297.5
148,0.005,298.0
148,0.005,298.5
148,0.005,299.0
148,0.004,299.5
144,0.002,300.0
144,0.002,300.5
144,0.001,301.0
144,0.001,301.5
144,0.0,302.0
147,0.003,302.5
147,0.003,303.0
148,0.004,303.5
144,0.003,304.0
144,0.002,304.5
144,0.002,305.0
144,0.002,305.5
143,0.003,306.0
146,0.001,306.5
146,0.001,307.0
146,0.002,307.5
146,0.002,308.0
142,0.002,308.5
142,0.0,309.0
142,0.003,309.5
142,0.004,310.0
142,0.002,310.5
133,0.004,311.0
133,0.003,311.5
130,0.003,312.0
130,0.004,312.5
132,0.0,313.0
120,0.002,313.5
120,0.003,314.0
134,0.003,314.5
134,0.004,315.0
144,0.0,315.5
144,0.0,316.0
144,0.0,316.5
143,0.0,317.0
143,0.0,317.5
143,0.0,318.0
143,0.0,318.5
138,0.0,319.0
138,0.0,319.5
138,0.0,320.0
138,0.0,320.5
136,0.0,321.0
136,0.0,321.5
123,0.001,322.0
123,0.0,322.5
123,0.004,323.0
123,0.001,323.5
123,0.001,324.0
123,0.0,324.5
123,0.0,325.0
123,0.0,325.5
123,0.0,326.0
123,0.0,326.5
123,0.0,327.0
130,0.005,327.5
130,0.005,328.0
130,0.005,328.5
130,0.004,329.0
130,0.005,329.5
130,0.005,330.0
128,0.006,330.5
138,0.005,331.0
138,0.005,331.5
138,0.003,332.0
138,0.005,332.5
138,0.003,333.0
138,0.005,333.5
138,0.006,334.0
141,0.001,334.5
141,0.001,335.0
141,0.0,335.5
141,0.002,336.0
140,0.002,336.5
140,0.001,337.0
140,0.0,337.5
140,0.0,338.0
140,0.0,338.5
140,0.0,339.0
142,0.004,339.5
142,0.003,340.0
140,0.004,340.5
132,0.004,341.0
132,0.002,341.5
133,0.007,342.0
133,0.007,342.5
133,0.005,343.0
133,0.008,343.5
133,0.007,344.0
133,0.004,344.5
133,0.004,345.0
133,0.003,345.5
133,0.005,346.0
133,0.005,346.5
133,0.005,347.0
133,0.006,347.5
133,0.005,348.0
131,0.003,348.5
131,0.003,349.0
130,0.004,349.5
130,0.003,350.0
131,0.002,350.5
131,0.0,351.0
130,0.0,351.5
130,0.0,352.0
133,0.007,352.5
133,0.007,353.0
130,0.008,353.5
130,0.007,354.0
126,0.005,354.5
126,0.003,355.0
126,0.004,355.5
126,0.005,356.0
120,0.005,356.5
132,0.006,357.0
132,0.006,357.5
132,0.006,358.0
132,0.005,358.5
132,0.005,359.0
129,0.005,359.5
129,0.004,360.0
143,0.0,360.5
143,0.0,361.0
142,0.0,361.5
128,0.003,362.0
128,0.003,362.5
129,0.002,363.0
129,0.004,363.5
120,0.004,364.0
120,0.005,364.5
120,0.004,365.0
120,0.005,365.5
120,0.005,366.0
124,0.008,366.5
129,0.003,367.0
129,0.004,367.5
129,0.007,368.0
123,0.004,368.5
123,0.003,369.0
120,0.002,369.5
120,0.0,370.0
139,0.003,370.5
139,0.004,371.0
142,0.005,371.5
142,0.003,372.0
142,0.005,372.5
142,0.005,373.0
142,0.007,373.5
134,0.0,374.0
134,0.0,374.5
134,0.0,375.0
134,0.0,375.5
130,0.0,376.0
130,0.0,376.5
130,0.0,377.0
130,0.0,377.5
129,0.0,378.0
129,0.0,378.5
129,0.0,379.0
129,0.0,379.5
129,0.0,380.0
129,0.0,380.5
129,0.0,381.0
129,0.0,381.5
141,0.0,382.0
141,0.0,382.5
141,0.0,383.0
135,0.0,383.5
135,0.0,384.0
134,0.0,384.5
134,0.0,385.0
130,0.0,385.5
130,0.0,386.0
130,0.0,386.5
130,0.0,387.0
137,0.001,387.5
137,0.001,388.0
137,0.001,388.5
137,0.001,389.0
128,0.0,389.5
128,0.0,390.0
128,0.0,390.5
128,0.0,391.0
133,0.0,391.5
133,0.0,392.0
117,0.0,392.5
117,0.0,393.0
123,0.0,393.5
123,0.0,394.0
123,0.0,394.5
123,0.0,395.0
123,0.0,395.5
146,0.005,396.0
146,0.005,396.5
146,0.006,397.0
146,0.004,397.5
146,0.003,398.0
146,0.003,398.5
146,0.003,399.0
146,0.005,399.5
146,0.005,400.0
146,0.005,400.5
146,0.006,401.0
146,0.005,401.5
146,0.005,402.0
146,0.001,402.5
146,0.001,403.0
146,0.001,403.5
146,0.003,404.0
146,0.002,404.5
146,0.002,405.0
146,0.003,405.5
146,0.004,406.0
146,0.004,406.5
146,0.003,407.0
146,0.004,407.5
146,0.004,408.0
152,0.002,408.5
152,0.002,409.0
152,0.003,409.5
152,0.002,410.0
152,0.004,410.5
152,0.005,411.0
152,0.003,411.5
152,0.002,412.0
152,0.005,412.5
152,0.005,413.0
152,0.005,413.5
152,0.004,414.0
152,0.004,414.5
152,0.004,415.0
152,0.002,415.5
152,0.007,416.0
152,0.005,416.5
128,0.003,417.0
128,0.002,417.5
128,0.002,418.0
128,0.003,418.5
138,0.005,419.0
138,0.005,419.5
138,0.004,420.0
138,0.003,420.5
138,0.004,421.0
138,0.003,421.5
138,0.003,422.0
138,0.003,422.5
138,0.004,423.0
138,0.003,423.5
138,0.004,424.0
138,0.004,424.5
138,0.004,425.0
138,0.005,425.5
138,0.004,426.0
138,0.001,426.5
138,0.002,427.0
142,0.004,427.5
142,0.004,428.0
142,0.004,428.5
142,0.005,429.0
142,0.004,429.5
142,0.004,430.0
142,0.004,430.5
142,0.004,431.0
142,0.005,431.5
142,0.003,432.0
142,0.003,432.5
142,0.004,433.0
142,0.006,433.5
142,0.007,434.0
136,0.005,434.5
136,0.007,435.0
136,0.004,435.5
136,0.005,436.0
136,0.005,436.5
136,0.005,437.0
135,0.005,437.5
135,0.006,438.0
136,0.005,438.5
136,0.006,439.0
136,0.005,439.5
136,0.004,440.0
136,0.007,440.5
136,0.005,441.0
136,0.005,441.5
136,0.004,442.0
136,0.002,442.5
136,0.006,443.0
136,0.005,443.5
136,0.004,444.0
136,0.003,444.5
136,0.005,445.0
136,0.004,445.5
136,0.004,446.0
144,0.006,446.5
144,0.007,447.0
144,0.006,447.5
144,0.006,448.0
144,0.006,448.5
144,0.005,449.0
144,0.006,449.5
144,0.005,450.0
144,0.007,450.5
144,0.007,451.0
146,0.008,451.5
146,0.007,452.0
146,0.007,452.5
146,0.005,453.0
146,0.005,453.5
146,0.007,454.0
146,0.008,454.5
146,0.0,455.0
146,0.002,455.5
146,0.005,456.0
122,0.001,456.5
122,0.001,457.0
122,0.003,457.5
122,0.002,458.0
122,0.005,458.5
122,0.003,459.0
122,0.004,459.5
122,0.005,460.0
122,0.007,460.5
122,0.002,461.0
122,0.002,461.5
122,0.004,462.0
122,0.005,462.5
122,0.006,463.0
122,0.005,463.5
122,0.005,464.0
122,0.004,464.5
122,0.006,465.0
122,0.007,465.5
122,0.008,466.0
122,0.005,466.5
126,0.007,467.0
126,0.005,467.5
126,0.008,468.0
126,0.007,468.5
126,0.008,469.0
136,0.006,469.5
136,0.002,470.0
136,0.005,470.5
136,0.005,471.0
136,0.002,471.5
136,0.002,472.0
138,0.0,472.5
142,0.005,473.0
142,0.007,473.5
142,0.001,474.0
142,0.001,474.5
142,0.004,475.0
142,0.002,475.5
136,0.006,476.0
136,0.003,476.5
136,0.007,477.0
136,0.008,477.5
136,0.008,478.0
136,0.008,478.5
136,0.008,479.0
133,0.008,479.5
133,0.006,480.0
133,0.007,480.5
133,0.002,481.0
133,0.001,481.5
133,0.005,482.0
133,0.004,482.5
133,0.004,483.0
133,0.003,483.5
133,0.007,484.0
133,0.008,484.5
133,0.001,485.0
131,0.006,485.5
131,0.008,486.0
131,0.005,486.5
131,0.004,487.0
131,0.005,487.5
131,0.005,488.0
131,0.007,488.5
131,0.005,489.0
131,0.003,489.5
131,0.005,490.0
131,0.007,490.5
131,0.004,491.0
131,0.005,491.5
131,0.003,492.0
131,0.006,492.5
131,0.008,493.0
131,0.006,493.5
131,0.005,494.0
131,0.005,494.5
131,0.003,495.0
131,0.002,495.5
131,0.004,496.0
131,0.005,496.5
129,0.001,497.0
129,0.0,497.5
129,0.004,498.0
129,0.006,498.5
129,0.004,499.0
129,0.008,499.5
129,0.006,500.0
129,0.008,500.5
129,0.008,501.0
129,0.008,501.5
129,0.009,502.0
122,0.001,502.5
122,0.001,503.0
122,0.0,503.5
122,0.002,504.0
122,0.0,504.5
139,0.005,505.0
139,0.005,505.5
139,0.003,506.0
139,0.004,506.5
139,0.005,507.0
139,0.005,507.5
139,0.005,508.0
139,0.003,508.5
139,0.005,509.0
135,0.007,509.5
135,0.007,510.0
135,0.008,510.5
135,0.006,511.0
135,0.007,511.5
135,0.008,512.0
135,0.006,512.5
135,0.006,513.0
135,0.005,513.5
135,0.005,514.0
135,0.003,514.5
135,0.003,515.0
136,0.005,515.5
136,0.005,516.0
135,0.003,516.5
135,0.005,517.0
125,0.004,517.5
125,0.004,518.0
125,0.004,518.5
125,0.004,519.0
125,0.005,519.5
125,0.003,520.0
125,0.004,520.5
125,0.004,521.0
125,0.003,521.5
125,0.004,522.0
125,0.006,522.5
125,0.004,523.0
125,0.007,523.5
125,0.004,524.0
125,0.004,524.5
125,0.005,525.0
127,0.006,525.5
127,0.007,526.0
127,0.007,526.5
127,0.009,527.0
127,0.007,527.5
127,0.007,528.0
127,0.008,528.5
127,0.007,529.0
127,0.009,529.5
127,0.007,530.0
127,0.008,530.5
127,0.008,531.0
127,0.005,531.5
127,0.005,532.0
133,0.007,532.5
133,0.006,533.0
133,0.004,533.5
133,0.006,534.0
133,0.006,534.5
133,0.004,535.0
133,0.007,535.5
133,0.007,536.0
136,0.006,536.5
136,0.007,537.0
137,0.007,537.5
137,0.0,538.0
134,0.01,538.5
134,0.005,539.0
134,0.007,539.5
134,0.006,540.0
141,0.006,540.5
141,0.007,541.0
141,0.007,541.5
122,0.003,542.0
122,0.004,542.5
122,0.004,543.0
122,0.003,543.5
122,0.003,544.0
122,0.002,544.5
122,0.0,545.0
122,0.008,545.5
122,0.004,546.0
122,0.001,546.5
122,0.002,547.0
123,0.002,547.5
123,0.002,548.0
122,0.003,548.5
122,0.003,549.0
122,0.004,549.5
122,0.004,550.0
122,0.003,550.5
122,0.0,551.0
122,0.003,551.5
122,0.003,552.0
122,0.002,552.5
122,0.003,553.0
122,0.0,553.5
122,0.0,554.0
122,0.004,554.5
122,0.0,555.0
122,0.0,555.5
122,0.0,556.0
122,0.0,556.5
122,0.0,557.0
122,0.0,557.5
122,0.001,558.0
122,0.001,558.5
122,0.006,559.0
122,0.006,559.5
122,0.001,560.0
122,0.001,560.5
122,0.005,561.0
122,0.002,561.5
122,0.005,562.0
122,0.002,562.5
122,0.003,563.0
122,0.0,563.5
122,0.004,564.0
122,0.005,564.5
122,0.004,565.0
122,0.008,565.5
122,0.009,566.0
122,0.011,566.5
122,0.007,567.0
122,0.011,567.5
122,0.006,568.0
122,0.006,568.5
122,0.004,569.0
122,0.004,569.5
122,0.005,570.0
122,0.005,570.5
122,0.005,571.0
122,0.006,571.5
122,0.005,572.0
122,0.007,572.5
122,0.007,573.0
122,0.006,573.5
122,0.0,574.0
122,0.0,574.5
122,0.0,575.0
122,0.0,575.5
122,0.0,576.0
122,0.003,576.5
122,0.003,577.0
122,0.002,577.5
122,0.0,578.0
122,0.0,578.5
127,0.007,579.0
127,0.008,579.5
127,0.01,580.0
127,0.009,580.5
131,0.009,581.0
131,0.011,581.5
131,0.015,582.0
126,0.005,582.5
126,0.008,583.0
126,0.004,583.5
126,0.003,584.0
126,0.009,584.5
126,0.01,585.0
126,0.004,585.5
126,0.003,586.0
126,0.005,586.5
126,0.004,587.0
126,0.006,587.5
126,0.005,588.0
126,0.005,588.5
126,0.006,589.0
126,0.01,589.5
126,0.007,590.0
126,0.007,590.5
126,0.01,591.0
120,0.009,591.5
120,0.012,592.0
120,0.012,592.5
120,0.008,593.0
120,0.007,593.5
120,0.007,594.0
133,0.006,594.5
133,0.006,595.0
133,0.007,595.5
133,0.007,596.0
133,0.005,596.5
133,0.005,597.0
138,0.005,597.5
138,0.005,598.0
133,0.006,598.5
133,0.006,599.0
143,0.005,599.5
143,0.005,600.0
143,0.005,600.5
143,0.006,601.0
143,0.008,601.5
143,0.008,602.0
143,0.006,602.5
136,0.006,603.0
136,0.008,603.5
136,0.006,604.0
136,0.003,604.5
137,0.005,605.0
137,0.004,605.5
137,0.005,606.0
137,0.006,606.5
137,0.005,607.0
137,0.007,607.5
135,0.007,608.0
135,0.007,608.5
135,0.007,609.0
135,0.005,609.5
135,0.007,610.0
135,0.007,610.5
135,0.007,611.0
135,0.006,611.5
135,0.007,612.0
135,0.007,612.5
125,0.004,613.0
125,0.005,613.5
125,0.005,614.0
125,0.004,614.5
126,0.005,615.0
126,0.004,615.5
125,0.005,616.0
125,0.008,616.5
125,0.004,617.0
125,0.004,617.5
125,0.004,618.0
125,0.004,618.5
115,0.006,619.0
115,0.007,619.5
115,0.008,620.0
115,0.006,620.5
115,0.005,621.0
115,0.007,621.5
115,0.005,622.0
112,0.004,622.5
112,0.004,623.0
112,0.005,623.5
112,0.007,624.0
112,0.006,624.5
112,0.006,625.0
112,0.004,625.5
112,0.004,626.0
120,0.003,626.5
118,0.003,627.0
118,0.0,627.5
118,0.007,628.0
118,0.007,628.5
118,0.005,629.0
118,0.004,629.5
118,0.008,630.0
118,0.002,630.5
119,0.004,631.0
119,0.007,631.5
119,0.007,632.0
119,0.002,632.5
119,0.006,633.0
119,0.003,633.5
119,0.006,634.0
119,0.006,634.5
119,0.007,635.0
119,0.009,635.5
115,0.006,636.0
115,0.006,636.5
115,0.006,637.0
115,0.005,637.5
115,0.007,638.0
115,0.005,638.5
115,0.006,639.0
115,0.002,639.5
112,0.007,640.0
112,0.006,640.5
112,0.007,641.0
112,0.007,641.5
112,0.007,642.0
112,0.005,642.5
112,0.004,643.0
112,0.006,643.5
115,0.009,644.0
115,0.009,644.5
115,0.009,645.0
115,0.008,645.5
115,0.01,646.0
115,0.008,646.5
115,0.008,647.0
115,0.009,647.5
115,0.008,648.0
115,0.007,648.5
114,0.01,649.0
114,0.011,649.5
136,0.005,650.0
136,0.005,650.5
136,0.005,651.0
137,0.005,651.5
138,0.007,652.0
138,0.007,652.5
138,0.007,653.0
138,0.006,653.5
138,0.008,654.0
138,0.007,654.5
126,0.005,655.0
125,0.005,655.5
125,0.005,656.0
125,0.005,656.5
125,0.007,657.0
125,0.005,657.5
125,0.004,658.0
125,0.005,658.5
125,0.006,659.0
128,0.004,659.5
128,0.005,660.0
128,0.004,660.5
128,0.005,661.0
128,0.007,661.5
128,0.005,662.0
128,0.005,662.5
128,0.008,663.0
128,0.004,663.5
128,0.005,664.0
128,0.004,664.5
128,0.004,665.0
128,0.003,665.5
128,0.003,666.0
128,0.004,666.5
128,0.003,667.0
128,0.005,667.5
128,0.004,668.0
128,0.005,668.5
128,0.01,669.0
128,0.005,669.5
128,0.004,670.0
128,0.003,670.5
128,0.004,671.0
128,0.004,671.5
128,0.005,672.0
128,0.003,672.5
128,0.003,673.0
128,0.003,673.5
128,0.003,674.0
128,0.004,674.5
131,0.005,675.0
131,0.006,675.5
132,0.005,676.0
132,0.005,676.5
132,0.002,677.0
132,0.004,677.5
132,0.003,678.0
132,0.003,678.5
132,0.003,679.0
132,0.0,679.5
132,0.002,680.0
132,0.002,680.5
132,0.002,681.0
132,0.002,681.5
132,0.003,682.0
132,0.004,682.5
133,0.004,683.0
134,0.003,683.5
134,0.004,684.0
134,0.002,684.5
144,0.008,685.0
144,0.008,685.5
121,0.005,686.0
121,0.006,686.5
121,0.009,687.0
121,0.01,687.5
121,0.008,688.0
121,0.007,688.5
121,0.006,689.0
121,0.007,689.5
121,0.003,690.0
121,0.003,690.5
121,0.008,691.0
121,0.008,691.5
121,0.009,692.0
121,0.007,692.5
121,0.009,693.0
121,0.009,693.5
121,0.008,694.0
121,0.01,694.5
142,0.007,695.0
142,0.007,695.5
142,0.007,696.0
142,0.008,696.5
142,0.006,697.0
142,0.006,697.5
142,0.007,698.0
142,0.008,698.5
